Name,Operator,Mission,Vehicle,Launch Location,"Qualification
			(Flight) Date"
"Cotton, Coby",Blue Origin,NS-22/A2,New Shepard System,"Launch Site One, TX",8/4/2022
"Ferreira, Mario",Blue Origin,NS-22/A2,New Shepard System,"Launch Site One, TX",8/4/2022
"Kelly, Clint",Blue Origin,NS-22/A2,New Shepard System,"Launch Site One, TX",8/4/2022
"O'Brien, Vanessa",Blue Origin,NS-22/A2,New Shepard System,"Launch Site One, TX",8/4/2022
"Sabry, Sara",Blue Origin,NS-22/A2,New Shepard System,"Launch Site One, TX",8/4/2022
"Young, Steve",Blue Origin,NS-22/A2,New Shepard System,"Launch Site One, TX",8/4/2022
"Correa Hespanha, Victor",Blue Origin,NS-21,New Shepard,"Launch Site One, TX",6/4/2022
"Echazarreta, Katya",Blue Origin,NS-21,New Shepard,"Launch Site One, TX",6/4/2022
"Harding, Hamish",Blue Origin,NS-21,New Shepard,"Launch Site One, TX",6/4/2022
"Robinson, Jaison",Blue Origin,NS-21,New Shepard,"Launch Site One, TX",6/4/2022
"Vescovo, Victor",Blue Origin,NS-21,New Shepard,"Launch Site One, TX",6/4/2022
"Connor, Larry",SpaceX,Ax-1,Dragon,"Kennedy Space
			Center, FL",4/8/2022
"López-Alegría, Michael",SpaceX,Ax-1,Dragon,"Kennedy Space
			Center, FL",4/8/2022
"Pathy, Mark",SpaceX,Ax-1,Dragon,"Kennedy Space
			Center, FL",4/8/2022
"Stibbe, Eytan",SpaceX,Ax-1,Dragon,"Kennedy Space
			Center, FL",4/8/2022
"Allen, Marty",Blue Origin,NS-20,New Shepard,"Launch Site One, TX",3/31/2022
"Hagle, Marc",Blue Origin,NS-20,New Shepard,"Launch Site One, TX",3/31/2022
"Hagle, Sharon",Blue Origin,NS-20,New Shepard,"Launch Site One, TX",3/31/2022
"Kitchen, Jim",Blue Origin,NS-20,New Shepard,"Launch Site One, TX",3/31/2022
"Lai, Gary",Blue Origin,NS-20,New Shepard,"Launch Site One, TX",3/31/2022
"Nield, Dr. George",Blue Origin,NS-20,New Shepard,"Launch Site One, TX",3/31/2022
"Bess, Cameron*",Blue Origin,NS-19,New Shepard,"Launch Site One, TX",12/11/2021
"Bess, Lane*",Blue Origin,NS-19,New Shepard,"Launch Site One, TX",12/11/2021
"Churchley,
			Laura Shepard*",Blue Origin,NS-19,New Shepard,"Launch Site One, TX",12/11/2021
"Dick, Evan*+",Blue Origin,NS-19,New Shepard,"Launch Site One, TX",12/11/2021
"Strahan, Michael*",Blue Origin,NS-19,New Shepard,"Launch Site One, TX",12/11/2021
"Taylor, Dylan*",Blue Origin,NS-19,New Shepard,"Launch Site One, TX",12/11/2021
"Boshuizen,
			Dr. Chris*",Blue Origin,NS-18,New Shepard,"Launch Site One, TX",10/13/2021
"de Vries, Glen*",Blue Origin,NS-18,New Shepard,"Launch Site One, TX",10/13/2021
"Powers, Audrey*",Blue Origin,NS-18,New Shepard,"Launch Site One, TX",10/13/2021
"Shatner,
			William*",Blue Origin,NS-18,New Shepard,"Launch Site One, TX",10/13/2021
"Arceneaux,
			Hayley*",SpaceX,Inspiration4,Falcon 9,"Kennedy Space
			Center, FL",9/16/2021
"Isaacman, Jared*",SpaceX,Inspiration4,Falcon 9,"Kennedy Space
			Center, FL",9/16/2021
"Proctor,
			Dr. Sian*",SpaceX,Inspiration4,Falcon 9,"Kennedy Space
			Center, FL",9/16/2021
"Sembroski,
			Christopher*",SpaceX,Inspiration4,Falcon 9,"Kennedy Space
			Center, FL",9/16/2021
"Bezos, Jeffrey P.*",Blue Origin,NS-16,New Shepard,"Launch Site One, TX",7/20/2021
"Bezos, Mark S.*",Blue Origin,NS-16,New Shepard,"Launch Site One, TX",7/20/2021
"Daemen, Oliver*",Blue Origin,NS-16,New Shepard,"Launch Site One, TX",7/20/2021
"Funk, Wally*",Blue Origin,NS-16,New Shepard,"Launch Site One, TX",7/20/2021
"Bandla, Sirisha*",Virgin Galactic,VH-01,SpaceShipTwoUnity,"Spaceport America, NM",7/11/2021
"Bennett, Colin*",Virgin Galactic,VH-01,SpaceShipTwoUnity,"Spaceport America, NM",7/11/2021
"Branson, Sir Richard*",Virgin Galactic,VH-01,SpaceShipTwoUnity,"Spaceport America, NM",7/11/2021
"Mackay, David*+",Virgin Galactic,VF-01,SpaceShipTwoUnity,"Mojave Air and
			Space Port, CA",2/22/2019
"Masucci, Michael*+",Virgin Galactic,VF-01,SpaceShipTwoUnity,"Mojave Air and
			Space Port, CA",2/22/2019
"Moses, Beth*+",Virgin Galactic,VF-01,SpaceShipTwoUnity,"Mojave Air and
			Space Port, CA",2/22/2019
"Stucky, Mark*",Virgin Galactic,VP-03,SpaceShipTwoUnity,"Mojave Air and
			Space Port, CA",12/13/2018
"Sturckow, CJ*",Virgin Galactic,VP-03,SpaceShipTwoUnity,"Mojave Air and
			Space Port, CA",12/13/2018
"Alsbury, Michael*",Scaled Composites,PF04,SpaceShipTwoEnterprise,"Mojave Air and
			Space Port, CA",10/31/2014
"Siebold, Peter*",Scaled Composites,PF04,SpaceShipTwoEnterprise,"Mojave Air and
			Space Port, CA",10/31/2014
"Binnie, Brian*",Scaled Composites,Flight 17P,SpaceShipOne,"Mojave Air and
			Space Port, CA",10/04/2004
"Melvill, Mike*+",Scaled Composites,Flight 15P,SpaceShipOne,"Mojave Air and
			Space Port, CA",6/21/2004
